GridCell_Id,species,PiHat,RangeSize_km2,RangeSize_percentile,nseqs
2961,Sorex_tundrensis,0.000587644,16000922.75,perc_90,3
3229,Sorex_tundrensis,0.000894058,16000922.75,perc_90,4
3329,Sorex_tundrensis,0.001403804,16000922.75,perc_90,6
3300,Sorex_tundrensis,0.002063689,16000922.75,perc_90,18
3044,Sorex_tundrensis,0.002289232,16000922.75,perc_90,4
3040,Sorex_tundrensis,0.004015296,16000922.75,perc_90,9
3129,Sorex_tundrensis,0.004915925,16000922.75,perc_90,8
3318,Sorex_tundrensis,0.005765236,16000922.75,perc_90,8
3233,Sorex_tundrensis,0.005853606,16000922.75,perc_90,3
3221,Sorex_tundrensis,0.007192982,16000922.75,perc_90,5
2183,Sturnira_lilium,0.002375973,15288792.07,perc_90,4
2093,Sturnira_lilium,0.003943371,15288792.07,perc_90,4
1646,Sturnira_lilium,0.004462751,15288792.07,perc_90,5
1916,Sturnira_lilium,0.004484305,15288792.07,perc_90,2
1023,Sturnira_lilium,0.005019814,15288792.07,perc_90,4
2274,Sturnira_lilium,0.005226481,15288792.07,perc_90,2
1645,Sturnira_lilium,0.006650042,15288792.07,perc_90,3
1832,Sturnira_lilium,0.00781614,15288792.07,perc_90,5
2273,Sturnira_lilium,0.010221465,15288792.07,perc_90,2
1920,Sturnira_lilium,0.011054923,15288792.07,perc_90,4
2626,Sylvicapra_grimmia,0.015564202,13575937.13,perc_90,3
3037,Tamias_sibiricus,0,14493476.1,perc_90,2
3126,Tamias_sibiricus,0,14493476.1,perc_90,2
3218,Tamias_sibiricus,0,14493476.1,perc_90,4
3235,Tamias_sibiricus,0,14493476.1,perc_90,2
3321,Tamias_sibiricus,0,14493476.1,perc_90,3
3115,Tamias_sibiricus,0.000877193,14493476.1,perc_90,2
3225,Tamias_sibiricus,0.000877193,14493476.1,perc_90,2
3129,Tamias_sibiricus,0.001169591,14493476.1,perc_90,3
3141,Tamias_sibiricus,0.001977671,14493476.1,perc_90,11
3136,Tamias_sibiricus,0.00245614,14493476.1,perc_90,6
3229,Tamias_sibiricus,0.004545455,14493476.1,perc_90,12
2777,Tamias_sibiricus,0.022832473,14493476.1,perc_90,51
2628,Tamiasciurus_hudsonicus,0.007169078,10364040.18,perc_90,12
1669,Tragelaphus_scriptus,0,12063886.71,perc_90,2
1941,Tragelaphus_scriptus,0.001798561,12063886.71,perc_90,2
2010,Tragelaphus_scriptus,0.002398082,12063886.71,perc_90,3
2022,Tragelaphus_scriptus,0.010191847,12063886.71,perc_90,3
862,Tragelaphus_scriptus,0.023445529,12063886.71,perc_90,8
1671,Tragelaphus_scriptus,0.069509655,12063886.71,perc_90,20
1645,Uroderma_bilobatum,0.009419939,12793921.79,perc_90,3
3158,Ursus_americanus,0,9704197.65,perc_90,2
2898,Ursus_americanus,0.00312989,9704197.65,perc_90,3
3248,Ursus_americanus,0.017057903,9704197.65,perc_90,4
3104,Ursus_arctos,0,29842491.81,perc_90,2
3162,Ursus_arctos,0,29842491.81,perc_90,5
3244,Ursus_arctos,0.00056338,29842491.81,perc_90,5
2189,Ursus_arctos,0.000938967,29842491.81,perc_90,2
3248,Ursus_arctos,0.01627543,29842491.81,perc_90,8
3103,Ursus_arctos,0.028335301,29842491.81,perc_90,7
3013,Ursus_arctos,0.033057851,29842491.81,perc_90,4
3243,Ursus_maritimus,0.000586338,22638407.4,perc_90,3
3336,Ursus_maritimus,0.000879507,22638407.4,perc_90,2
2871,Vespertilio_murinus,0,15709416.94,perc_90,2
2716,Vulpes_vulpes,0,64742300.07,perc_90,2
2871,Vulpes_vulpes,0,64742300.07,perc_90,3
